"","Date","Value"
"776",2019-01-04,3865.7975
"777",2019-01-03,3867.13833333
"778",2019-01-02,3752.27166667
"779",2019-01-01,3791.54583333
"780",2018-12-31,3832.92166667
"781",2018-12-30,3912.28583333
"782",2018-12-29,3743.905
"783",2018-12-28,3747.83916667
"784",2018-12-27,3825.37916667
"785",2018-12-26,3813.88
"786",2018-12-25,4178.59083333
"787",2018-12-24,4027.47833333
"788",2018-12-23,3910.97333333
"789",2018-12-22,4015.60916667
"790",2018-12-21,3982.85083333
"791",2018-12-20,3808.0425
"792",2018-12-19,3567.47
"793",2018-12-18,3392.405
"794",2018-12-17,3271.23833333
"795",2018-12-16,3225.29916667
"796",2018-12-15,3278.37416667
"797",2018-12-14,3406.7625
"798",2018-12-13,3462.04
"799",2018-12-12,3426.19
"800",2018-12-11,3523.96
"801",2018-12-10,3528.80333333
"802",2018-12-09,3435.34
"803",2018-12-08,3405.64333333
"804",2018-12-07,3742.94333333
"805",2018-12-06,3858.34916667
"806",2018-12-05,3961.49333333
"807",2018-12-04,3967.52416667
"808",2018-12-03,4167.54666667
"809",2018-12-02,4116.7775
"810",2018-12-01,4106.87166667
"811",2018-11-30,4263.78333333
"812",2018-11-29,4103.45384615
"813",2018-11-28,3751.66833333
"814",2018-11-27,3920.53666667
"815",2018-11-26,3823.51166667
"816",2018-11-25,4293.84083333
"817",2018-11-24,4309.3375
"818",2018-11-23,4548.7975
"819",2018-11-22,4533.68083333
"820",2018-11-21,4671.97
"821",2018-11-20,5303.9425
"822",2018-11-19,5606.04416667
"823",2018-11-18,5558.24333333
"824",2018-11-17,5596.1925
"825",2018-11-16,5615.18
"826",2018-11-15,6176.155
"827",2018-11-14,6372.06333333
"828",2018-11-13,6401.93666667
"829",2018-11-12,6378.26833333
"830",2018-11-11,6399.03333333
"831",2018-11-10,6411.28083333
"832",2018-11-09,6486.25166667
"833",2018-11-08,6538.79
"834",2018-11-07,6445.35416667
"835",2018-11-06,6436.965
"836",2018-11-05,6391.87333333
"837",2018-11-04,6363.79583333
"838",2018-11-03,6387.67416667
"839",2018-11-02,6342.28083333
"840",2018-11-01,6310.28416667
"841",2018-10-31,6309.45285714
"842",2018-10-30,6382.66833333
"843",2018-10-29,6448.22166667
"844",2018-10-28,6465.9175
"845",2018-10-27,6473.75333333
"846",2018-10-26,6478.0825
"847",2018-10-25,6508.31
"848",2018-10-24,6481.426
"849",2018-10-23,6498.48583333
"850",2018-10-22,6531.60166667
"851",2018-10-21,6488.82583333
"852",2018-10-20,6487.44416667
"853",2018-10-19,6568.04076923
"854",2018-10-18,6596.27615385
"855",2018-10-17,6596.61833333
"856",2018-10-16,6452.57166667
"857",2018-10-15,6299.39916667
"858",2018-10-14,6260.64583333
"859",2018-10-13,6260.53083333
"860",2018-10-12,6248.63583333
