Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2018-11-06 00:00:00 UTC,7315.97533632,3093.3592609,87221.68405028,5428.17185158,,6551.28445297999,,5164.84649537,,33758.527011818354
2018-11-07 00:00:00 UTC,10723.84969026,4697.39978343999,76363.5982353199,6042.4667492,,7026.40764945,,5820.53947676,,27403.37493990706
2018-11-08 00:00:00 UTC,11614.73450065,3270.13651128999,56117.74891574,4639.84487746,,6411.94438171001,,4685.04524634,,32698.642840412984
2018-11-09 00:00:00 UTC,10454.89733603,3365.05435643999,71497.0976928001,4131.85901463,,5579.34115363,,5120.77376045,,28045.34628980225
2018-11-10 00:00:00 UTC,3252.9584259,1205.91073072,86052.3480753398,1837.80486558,,2794.29669486,,1708.62706433,,24784.12991172898
2018-11-11 00:00:00 UTC,7342.43381211,1411.15808217,42159.06591016,2140.44186869,,2818.74071492,,1842.96628384,,25949.73715743204
2018-11-12 00:00:00 UTC,7299.12463444,2797.80853692,1291.39711931,4281.25566991,,4673.33820238,,4209.99135862,,29657.735077753467
2018-11-13 00:00:00 UTC,10127.33762144,3477.20398457,1546.95499741,4504.39221411,,5570.51711421,,5409.88200411,,27743.05636816841
2018-11-14 00:00:00 UTC,59579.4478539806,13076.4858656898,4162.10504404,30265.0452647201,,32521.9694982603,,29568.72987953,,55358.554889269835
2018-11-15 00:00:00 UTC,49677.0229946902,14847.2736101499,4855.34404879,23216.74414202,,23930.3406249799,,21289.0635934299,,57035.253951717365
2018-11-16 00:00:00 UTC,18449.29487885,9785.11578385992,2656.6853653,9688.40420637,,10593.38457585,,10042.39381072,,35923.96942423226
2018-11-17 00:00:00 UTC,7997.55771392,2890.21173497,1141.00198964,3370.34257082,,5570.04610694,,4302.0312374,,29304.831367411727
2018-11-18 00:00:00 UTC,9539.91845224,3551.25566085,813.93434141,2996.3198518,,5512.75995711,,4723.37126522,,30021.157881679774
2018-11-19 00:00:00 UTC,74076.6349496904,22242.2381802097,5467.91890417,34033.00039947,,48066.6416683404,,35578.7193169899,,73246.83413502715
2018-11-20 00:00:00 UTC,117083.083264331,29389.9037368397,9548.14441418001,47581.70055636,,70233.2593477807,,49756.9791632299,,99855.9830058585
2018-11-21 00:00:00 UTC,44329.58027799,20765.7791903198,5186.10908363,24895.21052833,,29960.6568681798,,22278.85262795,,59486.20671310493
2018-11-22 00:00:00 UTC,28880.6135614501,12493.4070920799,3624.06308275,12662.00810206,,14225.58264617,,14930.08389665,,42442.813765850806
2018-11-23 00:00:00 UTC,36076.25860325,13140.3893702399,4097.36275839,15526.71390853,,21582.34271491,,19814.44735573,,51176.712446132304
2018-11-24 00:00:00 UTC,51031.7385207307,9961.44023148992,4370.07763802,17410.71379978,,26936.7038884405,,21394.28528225,,46046.36123273373
2018-11-25 00:00:00 UTC,82026.5660273109,25657.3178841797,8461.69219192999,32354.8106905699,,47956.3626843002,,38151.88834856,,72003.45319612553
2018-11-26 00:00:00 UTC,64051.1042519703,20993.0562829598,6890.25574738,30242.45397369,,42129.6474043803,,34870.0334978599,,89135.08608654968
2018-11-27 00:00:00 UTC,46260.2260983301,15257.8041771999,5265.83262573,20189.1407822,,26223.8443719599,,22863.81273579,,89005.24001794815
2018-11-28 00:00:00 UTC,65216.1323562103,19095.3567835299,7385.28860063999,26731.38348199,,38820.34893955,,33976.96963537,,86044.3986219322
2018-11-29 00:00:00 UTC,41112.0695109201,17232.4382051899,6452.41218781,18376.32360562,,22838.3851869599,,24613.84190027,,78147.02906744766
2018-11-30 00:00:00 UTC,42428.2829402702,18870.7256892699,5171.5813817,16616.26495942,,22524.1014787499,,25528.30855284,,74572.0769292031
2018-12-01 00:00:00 UTC,27468.7970724301,9861.94574020996,3789.5017069,7641.75222476,,11012.08687339,,13449.99925531,,59459.78050697094
2018-12-02 00:00:00 UTC,24455.54659012,10994.56796388,3568.49543715,7804.03850193,,11768.15934738,,11795.43440576,,60220.11742101189
2018-12-03 00:00:00 UTC,36840.1857106802,11823.17056874,5914.84654268,13580.27326707,,18241.0349527099,,20873.5191049,,66128.00582979791
2018-12-04 00:00:00 UTC,33672.8143237301,12920.42077272,5892.56874867,15211.9757683,,19107.71074665,,16318.52952545,,64657.02622398966
2018-12-05 00:00:00 UTC,28424.00292121,12910.9200127799,5228.02927399,15235.49712767,,16751.77587248,,16473.86551448,,65181.777197338575
2018-12-06 00:00:00 UTC,58237.8212524304,18848.4183276599,7991.0067392,19338.67508131,,30690.6282797401,,32623.815751,,75720.30477200613
2018-12-07 00:00:00 UTC,74025.1487891206,22946.8582127999,9959.61956130999,31007.16171818,,41218.37801688,,39954.86603105,,85768.63292352762
2018-12-08 00:00:00 UTC,39060.5884559803,11366.6262093299,4189.24472577,11919.69311224,,15871.4511231899,,16878.86291628,,64729.394979173885
